IO No.,Type,Customer,Due Date,IO date,A-ES,ATD,Supplier Invoice,ATA LG,ATA PU,ATA,AS Received,QC LG,QC PU,QC Receive,QC Stock,QC AS,QC REQ,QC,TRA,Price,Invoice Date,Stock For Sale,PO Receive date,App,IO Type,ATD,PO Due Date,Province,IO Ready
1001-22,I,SOUTHEAST ASIAN PACKAGING AND CANNING LTD.,24/1/2022,6/1/2022,,,,,,,,,,,,,,,17/1/2022,"11,000",21/2/2022,,06/01/2022,NP,L-S,,24/01/2022,สมุทรปราการ,
1002-22,I,Patum Vegetable Oil Company Limited,25/2/2022,6/1/2022,,,,,,,,,,7/1/2022,7/1/2022,,,7/1/2022,11/1/2022,"16,000",11/1/2022,S-S,06/01/2022,NP,S-S,,25/02/2022,ปทุมธานี,
1003-22,I,PTT Global Chemical Public Company Limited,24/2/2022,6/1/2022,,26/1/2022,,,,,,,,,,,,,17/2/2022,"300,000",17/2/2022,,06/01/2022,MO,A-S,26/1/2022,24/02/2022,กรุงเทพมหานคร,06/01/2022
1004-22,I,IRPC Public Company Limited,25/2/2022,6/1/2022,,26/1/2022,,,,,,,,,,,,,10/2/2022,"59,850",10/2/2022,,06/01/2022,MO,A-S,26/1/2022,25/02/2022,กรุงเทพมหานคร,06/01/2022
1005-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),23/1/2022,6/1/2022,,,,,,,,,,12/1/2022,12/1/2022,,,12/1/2022,20/1/2022,"59,000",20/1/2022,,06/01/2022,NP,A-S,,23/01/2022,ระยอง,
1006-22,I,SOUTHEAST ASIAN PACKAGING AND CANNING LTD.,27/1/2022,6/1/2022,,,,,,,,,,,,,,,17/1/2022,"16,900",21/2/2022,,06/01/2022,MO,L-S,,27/01/2022,สมุทรปราการ,
1007-22,I,Double A (1991) Public Company Limited,13/5/2022,7/1/2022,,8/4/2022,,,,,,,,,,,,,24/5/2022,"256,975",24/5/2022,,06/01/2022,UL,A-S,8/4/2022,06/05/2022,ปราจีนบุรี,
1008-22,I,Phoenix Pulp & Paper Public Company Limited,20/1/2022,7/1/2022,,12/1/2022,,,,,,,,,,,,,21/2/2022,"40,000",11/1/2022,,,NP,A-S,12/1/2022,20/01/2022,ขอนแก่น,
1009-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",7/5/2022,11/1/2022,,17/3/2022,,,,,,,,,,,,,30/3/2022,"65,000",30/3/2022,,10/01/2022,UL,A-S,17/3/2022,07/05/2022,ราชบุรี,
1010-22,I,Double A (1991) Public Company Limited,18/5/2022,12/1/2022,,11/3/2022,,,,,,,,,,,,,6/5/2022,"109,310",6/5/2022,,11/01/2022,UL,A-S,11/3/2022,18/05/2022,ปราจีนบุรี,
1011-22,S,"Siam Kraft Industry Co., Ltd ( Ban Pong )",7/1/2023,13/1/2022,A-ES,,,,,,,,,,,,,,,"240,000",,,13/01/2022,UL,L-M,,07/01/2023,ราชบุรี,
1012-22,S,"Thai Paper Co., Ltd. ( Ban Pong )",7/1/2023,13/1/2022,A-ES,,,,,,,,,,,,,,,"216,000",,,13/01/2022,UL,L-M,,7/1/2023,ราชบุรี,
1013-22,I,"Bangchak Bioethanol Co,. Ltd",11/2/2022,13/1/2022,,19/1/2022,,,,,,,,,,,,,26/1/2022,"13,200",26/1/2022,,13/01/2022,NP,A-S,19/1/2022,11/2/2022,ฉะเชิงเทรา,
1014-22,I,Daramic (Thailand) Ltd.,5/4/2022,13/1/2022,,15/3/2022,,,,,,,,,,,,,29/3/2022,"180,000",29/3/2022,,13/01/2022,NP,A-S,15/3/2022,05/04/2022,ปราจีนบุรี,
1015-22,I,"Thai Peroxide Co.,Ltd",30/3/2022,13/1/2022,,19/1/2022,,,,,,,,,,,,,2/2/2022,"132,840",2/2/2022,,13/01/2022,MO,A-S,19/1/2022,30/03/2022,สระบุรี,
1016-22,I,"ASIA KRAFT PAPER CO., LTD.",14/4/2022,15/1/2022,,8/4/2022,,,,,,,,,,,,,25/4/2022,"100,000",25/4/2022,,14/01/2022,UL,A-S,8/4/2022,14/04/2022,,
1017-22,I,POSCO - Thainox Public Company Limited,31/7/2022,17/1/2022,,7/5/2022,,,,,,,,,,,,,1/7/2022,"1,093,680",1/7/2022,,17/01/2022,MO,A-S,7/5/2022,15/06/2022,ระยอง,17/01/2022
1018-22,S,"MITR PHOL BIO-POWER CO., LTD.",31/1/2022,18/1/2022,A-ES,,,,,,,,,,,,,,20/1/2022,"60,000",20/1/2022,,18/01/2022,UL,L-M,,31/01/2022,กาฬสินธุ์,
1019-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),18/2/2022,18/1/2022,,,,,,,,,,27/1/2022,27/1/2022,,,27/1/2022,27/1/2022,"12,000",27/1/2022,,11/01/2022,NP,L-S,,18/02/2022,ระยอง,
1020-22,I,"Vinythai Public Co.,Ltd",21/4/2022,19/1/2022,,2/3/2022,,,,,,,,,,,,,18/3/2022,"3,088",18/3/2022,,19/01/2022,UL,A-S,2/3/2022,21/04/2022,,24/01/2022
1021-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),22/6/2022,19/1/2022,,1/6/2022,,,,,,,,,,,,,15/6/2022,"9,500",15/6/2022,,18/01/2022,UL,A-S,1/6/2022,22/06/2022,ระยอง,24/01/2022
1022-22,A,Patum Vegetable Oil Company Limited,10/6/2022,20/1/2022,,15/3/2022,,,,,,,,,,,,,27/5/2022,"200,000",27/5/2022,,20/01/2022,NP,A-S,15/3/2022,20/05/2022,ปทุมธานี,
1023-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),14/5/2022,20/1/2022,,1/6/2022,,,,,,,,,,,,,15/6/2022,"10,656",15/6/2022,,19/01/2022,UL,A-S,1/6/2022,14/05/2022,ระยอง,24/01/2022
1024-22,I,Double A (1991) Public Company Limited,1/8/2022,21/1/2022,,10/4/2022,,,,,,,,27/6/2022,27/6/2022,,,27/6/2022,29/7/2022,"299,000",29/7/2022,,21/01/2022,NP,A-S,10/4/2022,31/03/2022,ปราจีนบุรี,
1025-22,I,"Thai Paper Co., Ltd. ( วังศาลา )",31/3/2022,21/1/2022,,28/2/2022,,,,,,,,,,,,,17/3/2022,"339,500",17/3/2022,,21/01/2022,UL,A-S,28/2/2022,31/03/2022,กาญจนบุรี,24/01/2022
1026-22,A,"AGC Chemicals (Thailand) Co.,Ltd.",3/6/2022,24/1/2022,,10/4/2022,,,,,,,,,,,,,6/6/2022,"223,560",6/6/2022,,24/01/2022,NP,A-S,10/4/2022,20/5/2022,ระยอง,
1027-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",1/4/2022,24/1/2022,,24/2/2022,,,,,,,,,,,,,11/3/2022,"50,000",11/3/2022,,24/01/2022,NP,A-S,24/2/2022,1/4/2022,ราชบุรี,
1028-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",21/5/2022,24/1/2022,,18/4/2022,,,,,,,,,,,,,5/5/2022,"124,000",5/5/2022,,24/01/2022,UL,A-S,18/4/2022,21/5/2022,กาญจนบุรี,25/01/2022
1029-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",30/4/2022,24/1/2022,,22/3/2022,,,,,,,,,,,,,27/4/2022,"63,050",27/4/2022,,24/01/2022,NP,A-S,22/3/2022,30/04/2022,กาญจนบุรี,
1030-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",30/4/2022,24/1/2022,,22/3/2022,,,,,,,,,,,,,27/4/2022,"61,110",27/4/2022,,24/01/2022,NP,A-S,22/3/2022,30/04/2022,กาญจนบุรี,
1031-22,S,PTT Asahi Chemical Company Limited,31/12/2022,25/1/2022,A-ES,,,,,,,,,,,,,,,"288,000",,,24/01/2022,UL,L-M,,31/12/2022,ระยอง,
